OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
46,Higher Education Institutions,高等教育院校,HKU SPACE Community College (Kowloon East (Kingston) Learning Centre),"Kingston International Centre, 19 Wang Chiu Road, Kowloon Bay, Kowloon",香港大學附屬學院 (九龍東Kingston教學中心),九龍九龍灣宏照道19號金利豐國際中心,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820522.84090084,839601.8792289,22.32372078,114.20923388,2025-12-23T16:14:33,839601.8792000003,820522.8409000002
47,Higher Education Institutions,高等教育院校,Hong Kong Baptist University - College of International Education,"8 On Muk Street, Shek Mun, Shatin",香港浸會大學 - 國際學院,新界沙田石門安睦街八號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,827618.7000000001,839709.1,22.38780039,114.2102899,2025-12-23T16:01:10,839709.0999999996,827618.6999999993
48,Higher Education Institutions,高等教育院校,Hong Kong Nang Yan College of Higher Education,"176-178, Yee Kuk Street, Shamshuipo, Kowloon",香港能仁專上學院,九龍深水埗醫局街176-178 號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821047.2000000001,834526.1,22.32845871,114.15996644,2025-12-23T16:00:26,834526.0999999996,821047.1999999993
49,Higher Education Institutions,高等教育院校,Hong Kong Nang Yan College of Higher Education,"325-329, Lai Chi Kok Road, Shamshuipo, Kowloon",香港能仁專上學院,九龍深水埗荔枝角道325至329號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821065.5,834532.7000000001,22.32862397,114.16003049,2025-12-23T16:00:14,834532.7000000002,821065.5
50,Higher Education Institutions,高等教育院校,Hong Kong Baptist University - School of Continuing Education,"Kowloon Tong Campus, Hong Kong Baptist University, 9 Baptist University Road, Kowloon Tong, Kowloon",香港浸會大學持續教育學院,九龍九龍塘浸會大學道9號香港浸會大學,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822017.3,836769.4,22.33722007,114.18174156,2025-12-23T15:58:34,836769.4000000004,822017.3000000007
51,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"Shop 76-80, Level 2, Sun Tuen Mun Shopping Centre, 55-65 Lung Mun Road, Tuen Mun, New Territories",香港科技專上書院,新界屯門龍門路55-65號新屯門商場第二層76-80號舖,N.A.,N.A.,N.A.,N.A.,,,N.A.,N.A.,N.A.,N.A.,826904.13261074,814452.1759784,22.38119276,113.96504564,2025-12-23T15:57:32,814452.176,826904.1326000001
52,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"Shop 108&109, 1/F., Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin, Kowloon",香港科技專上書院,九龍黃大仙睦鄰街8號現祟山商場1樓108及109號鋪,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822383.90339031,838336.48811221,22.34052924,114.19695407,2025-12-23T15:57:22,838336.4880999997,822383.9034000002
53,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"Shop Nos UG17-UG20, UG/F., Waterside Plaza, 38 Wing Shun Street, Tsuen Wan, New Territories",香港科技專上書院,新界荃灣永順街38號海灣花園購物商場地下上層17-20號舖,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,825027.4,829753.9,22.3643907,114.11362844,2025-12-23T15:57:12,829753.9000000004,825027.4000000004
54,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"Shop G30, Ground Floor, The Metropolis, Metro City Phase 3, 8 Mau Yip Road, Tseung Kwan O, N.T.",香港科技專上書院,將軍澳貿業路8號新都城三期地下G30號舖,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820402.2000000001,844539.4,22.32261496,114.25715813,2025-12-23T15:56:53,844539.4000000004,820402.1999999993
55,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"Unit 8-10, 3/F, Prosperity Place, No. 6 Shing Yip Street, Kwun Tong, Kowloon",香港科技專上書院,九龍觀塘成業街6號泓富廣場3樓8-10室,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819077.03254081,841301.91740015,22.31056054,114.22562436,2025-12-23T15:56:43,841301.9173999997,819077.0325000007
56,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"Shop Nos A118 & A119, G/F Kingswood Richly Plaza Phase I, Locwood Court Kingswood Villas, No. 1 Tin Wu Road Tin Shui Wai, Yuen Long, N.T.",香港科技專上書院,新界天水圍天湖路1號樂湖居嘉湖新北江商場第一期地下A118及A119號舖,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,834801.9,818098.1,22.45257511,114.00035016,2025-12-23T15:56:32,818098.0999999996,834801.9000000004
57,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"5/F, Well View Commercial Building, 10 Morrison Street, Sheung Wan",香港科技專上書院,上環摩利臣街10號宏基商業大廈5樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,816353.5,833519.4,22.28607014,114.15020285,2025-12-23T15:56:23,833519.4000000004,816353.5
